Date,Open,High,Low,Close,Volume,Adj Close
12/31/04,64.89,65,64.03,64.4,69647200,4.4
12/30/04,64.81,65.03,64.22,64.8,86335200,4.42
12/29/04,63.81,64.98,63.57,64.44,112390600,4.4
12/28/04,63.3,64.25,62.05,64.18,152938800,4.38
12/27/04,64.8,65.15,62.88,63.16,139872600,4.31
12/23/04,63.75,64.25,63.6,64.01,61482400,4.37
12/22/04,63.66,64.36,63.4,63.75,141457400,4.35
12/21/04,63.56,63.77,61.6,63.69,266103600,4.35
12/20/04,65.47,66,61.76,62.72,292031600,4.28
12/17/04,66.84,67.04,64.9,64.99,195874000,4.44
12/16/04,66.15,67.5,66.05,66.6,281528800,4.55
12/15/04,65.24,65.46,64.66,65.26,99590400,4.46
12/14/04,65.4,65.88,65.02,65.29,103930400,4.46
12/13/04,65.62,65.9,64.6,64.91,98760200,4.43
12/10/04,65.03,66.05,64.7,65.15,193943400,4.45
12/9/04,62.81,64.4,62.07,63.99,185375400,4.37
12/8/04,63.08,64.43,62.05,63.28,172975600,4.32
12/7/04,65.93,66.73,62.56,62.89,264224800,4.29
12/6/04,64.25,66.24,62.95,65.78,311980200,4.49
12/3/04,64.53,65,61.75,62.68,309712200,4.28
12/2/04,66.13,66.9,64.66,65.21,246860600,4.45
12/1/04,67.79,67.95,66.27,67.79,200138400,4.63
11/30/04,68.79,68.79,67.05,67.05,257129600,4.58
11/29/04,68.95,69.57,67.41,68.44,428229200,4.67
11/26/04,65.35,65.76,64.34,64.55,137536000,4.41
11/24/04,61.69,65.2,61.55,64.05,347697000,4.37
11/23/04,62.3,62.45,61.05,61.27,227862600,4.18
11/22/04,61.8,64,57.9,61.35,642052600,4.19
11/19/04,55.49,56.91,54.5,55.17,191319800,3.77
11/18/04,54.3,55.45,54.29,55.39,114787400,3.78
11/17/04,55.19,55.45,54.22,54.9,99437800,3.75
11/16/04,55.16,55.2,54.48,54.94,73775800,3.75
11/15/04,55.2,55.46,54.34,55.24,94011400,3.77
11/12/04,55.01,55.69,54.84,55.5,98925400,3.79
11/11/04,54.95,55.43,54.23,55.3,101824800,3.78
11/10/04,53.95,55.39,53.91,54.75,127169000,3.74
11/9/04,54.23,54.55,53.38,54.05,118941200,3.69
11/8/04,54.27,55.45,53.86,54.38,131730200,3.71
11/5/04,54.86,55,52.04,54.72,301261800,3.74
11/4/04,55.03,55.55,54.37,54.45,232156400,3.72
11/3/04,54.37,56.11,53.99,55.31,301043400,3.78
11/2/04,52.4,54.08,52.4,53.5,182497000,3.65
11/1/04,52.5,53.26,52.04,52.45,150512600,3.58
10/29/04,51.84,53.2,51.8,52.4,202554800,3.58
10/28/04,49.98,52.22,49.5,52.19,216066200,3.56
10/27/04,48.51,50.62,48.17,50.3,298373600,3.43
10/26/04,47.45,48.05,46.97,47.97,148590400,3.28
10/25/04,47.2,47.84,47.07,47.55,98161000,3.25
10/22/04,47.54,47.67,47.02,47.41,120766800,3.24
10/21/04,47.48,48.13,47.36,47.94,181126400,3.27
10/20/04,47.18,47.6,46.65,47.47,151277000,3.24
10/19/04,48.1,48.35,47.31,47.42,200498200,3.24
10/18/04,44.7,47.75,44.7,47.75,300188000,3.26
10/15/04,44.88,45.61,44.19,45.5,257782000,3.11
10/14/04,43.19,45.75,42.55,44.98,692106800,3.07
10/13/04,38.87,39.76,38.74,39.75,290752000,2.71
10/12/04,38.5,38.58,37.65,38.29,115047800,2.61
10/11/04,38.8,39.06,38.2,38.59,80967600,2.63
10/8/04,39.56,39.77,38.84,39.06,89807200,2.67
