Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,58.35,58.49,57.84,58.15,1332600,30.72
2004-12-30,57.47,58.56,57.44,58.55,1041500,30.94
2004-12-29,57.25,57.60,57.16,57.47,1038300,30.37
2004-12-28,56.63,57.63,56.63,57.60,1117400,30.42
2004-12-27,57.07,57.48,56.72,56.83,697100,30.01
2004-12-23,56.58,57.49,56.45,57.00,1483000,30.10
2004-12-22,56.50,57.00,56.09,56.57,3954100,29.87
2004-12-21,58.07,58.76,58.06,58.50,1553400,30.89
2004-12-20,56.80,58.35,56.80,58.07,2175200,30.67
2004-12-17,57.80,57.87,57.27,57.75,3946500,30.50
2004-12-16,56.75,57.86,56.73,57.80,2184800,30.52
2004-12-15,56.35,56.83,56.09,56.83,3359100,30.01
2004-12-14,55.64,56.53,55.27,56.31,2292700,29.74
2004-12-13,56.10,56.71,54.75,55.76,4559100,29.45
2004-12-10,55.49,56.93,55.17,56.76,2753700,29.97
2004-12-09,54.21,55.77,53.36,55.77,2573500,29.45
2004-12-08,52.50,54.31,52.45,54.20,2804900,28.62
2004-12-07,53.34,53.37,51.95,52.20,1742200,27.57
2004-12-06,52.71,53.55,51.84,53.34,1451100,28.17
2004-12-03,53.25,53.71,52.73,53.14,1343000,28.06
2004-12-02,53.28,54.00,53.08,53.50,1741000,28.25
2004-12-01,52.38,53.52,52.33,53.52,1702000,28.26
2004-11-30,51.56,52.55,51.56,52.28,1696100,27.61
2004-11-29,51.84,51.97,51.45,51.65,1014800,27.28
2004-11-26,51.47,51.89,51.45,51.77,457700,27.34
2004-11-24,51.00,51.53,50.98,51.47,1406800,27.18
2004-11-23,51.41,51.61,50.89,51.10,1700000,26.99
2004-11-22,51.00,51.52,50.71,51.52,1232100,27.21
2004-11-19,51.90,51.90,50.85,51.24,1791400,27.06
2004-11-18,51.41,51.90,51.17,51.61,1218800,27.26
2004-11-17,51.10,51.79,50.88,51.26,1984400,27.07
2004-11-16,51.46,51.70,50.76,51.02,2154900,26.94
2004-11-15,51.98,52.27,51.53,51.71,1815600,27.31
2004-11-12,51.67,52.00,51.37,51.94,1950600,27.43
2004-11-11,51.10,51.85,50.84,51.80,2687900,27.36
2004-11-10,50.29,51.41,50.25,50.81,3488500,26.83
2004-11-09,49.60,50.68,49.32,50.29,4432700,26.56
2004-11-08,47.75,49.16,47.65,49.01,4891300,25.88
2004-11-05,47.25,47.74,46.64,47.35,4131600,25.01
2004-11-04,45.91,46.18,45.53,45.95,2207700,24.27
2004-11-03,46.75,47.00,45.66,45.90,2424700,24.24
