Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,81.15,81.96,80.38,81.57,1350000,26.90
2004-12-30,81.66,81.66,80.87,81.15,1664700,26.76
2004-12-29,81.70,82.10,81.42,81.65,1875900,26.93
2004-12-28,80.00,83.27,79.81,82.21,3486300,27.11
2004-12-27,80.00,80.32,79.66,80.05,1741800,26.40
2004-12-23,79.94,80.22,79.52,79.99,2079300,26.38
2004-12-22,80.65,80.70,79.93,80.04,3096600,26.40
2004-12-21,79.75,80.88,79.40,80.69,3533700,26.61
2004-12-20,79.50,80.40,79.50,80.00,3545700,26.38
2004-12-17,79.25,79.79,78.85,79.10,3969000,26.09
2004-12-16,81.10,81.26,78.98,79.90,5543400,26.35
2004-12-15,81.00,81.80,80.65,81.31,3415200,26.82
2004-12-14,80.70,81.15,80.32,80.70,2981100,26.61
2004-12-13,81.00,81.65,80.50,80.70,4450800,26.61
2004-12-10,81.46,81.46,79.55,81.00,5564700,26.71
2004-12-09,77.12,80.10,76.60,80.02,6136200,26.39
2004-12-08,75.40,77.20,75.35,77.15,4185000,25.44
2004-12-07,75.46,76.00,75.03,75.25,3775200,24.81
2004-12-06,74.40,75.54,73.90,75.46,3122100,24.88
2004-12-03,74.88,75.11,74.44,74.85,2383800,24.68
2004-12-02,75.90,76.20,74.26,74.87,5271900,24.68
2004-12-01,72.60,77.46,72.60,75.80,14924400,24.99
2004-11-30,69.75,70.28,69.15,70.02,3360600,23.08
2004-11-29,70.14,70.68,68.31,70.07,3560400,23.10
2004-11-26,69.85,70.66,69.85,70.30,461100,23.18
2004-11-24,70.30,70.31,69.50,70.01,1865400,23.08
2004-11-23,69.12,70.36,69.12,70.22,3813300,23.15
2004-11-22,67.88,69.40,66.91,69.12,4091700,22.79
2004-11-19,68.47,69.11,68.00,68.12,3313500,22.46
2004-11-18,69.60,69.98,68.27,68.47,3605400,22.57
2004-11-17,69.51,70.22,68.81,69.18,3489600,22.81
2004-11-16,70.27,70.80,69.27,69.51,2748000,22.92
2004-11-15,69.80,71.89,69.75,70.70,4749600,23.31
2004-11-12,69.91,70.03,68.00,69.93,4664100,23.06
2004-11-11,69.81,70.20,69.14,70.06,2135400,23.10
2004-11-10,69.14,69.99,68.69,69.56,3118800,22.93
2004-11-09,69.26,70.70,68.80,69.15,9682200,22.80
2004-11-08,65.75,66.77,65.72,66.65,2443200,21.97
2004-11-05,66.44,66.68,64.87,65.75,4047600,21.68
2004-11-04,65.00,66.49,65.00,66.39,4563900,21.89
2004-11-03,64.50,67.45,64.10,65.29,8859300,21.53
2004-11-02,63.05,64.09,62.80,63.45,2964600,20.92
2004-11-01,63.50,63.64,62.84,63.15,2868600,20.82
2004-10-29,62.94,63.78,62.81,63.46,3053700,20.92
2004-10-28,64.06,64.07,62.25,63.09,4988400,20.80
2004-10-27,63.10,64.43,62.36,64.16,3625200,21.15
2004-10-26,62.00,63.75,61.70,63.50,5926500,20.94
2004-10-25,58.75,60.56,58.63,59.81,3534000,19.72
2004-10-22,58.58,60.30,58.21,58.85,3329400,19.40
2004-10-21,59.89,60.60,58.51,58.57,7250400,19.31
2004-10-20,59.58,61.14,58.29,59.89,15062700,19.75
2004-10-19,66.30,66.30,58.00,59.73,25899600,19.69
2004-10-18,67.18,67.19,66.45,66.58,3025200,21.95
2004-10-15,68.32,68.33,65.52,67.08,6565800,22.12
2004-10-14,69.34,69.74,68.26,68.33,4378800,22.53
2004-10-13,69.50,69.62,68.43,68.84,2237100,22.70
2004-10-12,69.52,69.65,68.64,69.14,2999700,22.79
2004-10-11,70.18,70.89,69.55,69.72,2296800,22.99
2004-10-08,70.31,70.47,69.62,69.93,3085500,23.06
2004-10-07,71.75,72.63,70.13,70.31,4393200,23.18
2004-10-06,71.94,71.94,70.61,71.86,2444100,23.69
2004-10-05,72.05,72.78,71.30,71.43,2975100,23.55
2004-10-04,70.67,72.20,70.60,72.01,5448000,23.74
2004-10-01,69.64,70.60,69.46,70.60,2627700,23.28
2004-09-30,68.91,69.98,68.80,69.63,4004100,22.96
2004-09-29,68.67,69.24,68.10,69.10,1841400,22.78
2004-09-28,67.80,68.76,67.60,68.67,2519700,22.64
2004-09-27,67.50,68.24,67.41,67.60,2304600,22.29
2004-09-24,67.71,67.71,67.16,67.28,4143900,22.18
2004-09-23,68.74,68.74,67.41,67.71,3420600,22.32
2004-09-22,69.73,69.73,68.60,68.73,2184600,22.66
2004-09-21,70.19,70.40,69.57,70.13,3458400,23.12
2004-09-20,69.24,70.19,69.24,70.04,2606700,23.09
2004-09-17,69.34,69.79,68.80,69.47,3709500,22.90
2004-09-16,69.00,69.74,68.84,69.33,2421900,22.86
2004-09-15,68.86,69.09,68.29,68.99,2790900,22.75
2004-09-14,68.78,69.05,68.08,68.49,2659200,22.58
2004-09-13,67.48,68.68,67.16,68.68,2460600,22.64
2004-09-10,67.77,68.55,67.65,67.98,1886700,22.41
2004-09-09,68.24,68.64,67.73,67.87,2820000,22.38
2004-09-08,68.70,69.00,68.10,68.18,3489300,22.47
2004-09-07,69.46,69.94,68.85,69.00,4663800,22.74
2004-09-03,68.60,69.15,68.48,68.86,1936200,22.69
2004-09-02,67.44,68.80,67.03,68.57,2851500,22.60
2004-09-01,66.38,67.52,66.05,67.44,2494200,22.23
2004-08-31,66.35,66.68,66.03,66.56,2903700,21.94
2004-08-30,66.40,66.70,66.15,66.25,1982100,21.83
2004-08-27,65.90,66.58,65.67,66.30,2136300,21.85
2004-08-26,65.65,66.03,65.25,65.95,1743300,21.74
2004-08-25,64.52,65.74,64.32,65.65,2110200,21.64
2004-08-24,64.15,64.64,64.00,64.55,2496600,21.27
2004-08-23,64.39,64.74,63.77,64.10,2365800,21.13
2004-08-20,63.84,64.50,63.40,64.44,2080500,21.24
2004-08-19,63.70,64.25,63.60,64.14,1695600,21.14
2004-08-18,63.69,63.91,62.71,63.70,3209700,20.99
2004-08-17,63.66,64.22,63.52,63.75,2947200,21.01
2004-08-16,62.75,63.88,62.60,63.66,2621700,20.98
2004-08-13,62.58,62.96,62.45,62.87,2057700,20.72
2004-08-12,62.70,62.70,61.60,62.53,2984400,20.61
2004-08-11,62.20,62.85,61.40,62.70,2761800,20.66
2004-08-10,60.70,62.38,60.68,62.33,3131700,20.54
2004-08-09,59.60,60.84,59.18,60.55,2854200,19.96
2004-08-06,59.59,60.11,58.93,59.20,2915400,19.51
2004-08-05,60.75,62.28,59.98,60.13,3296700,19.82
2004-08-04,64.49,64.49,60.55,60.60,9767700,19.97
2004-08-03,62.00,63.55,61.84,62.58,3476400,20.62
