Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,20.40,20.46,20.22,20.26,82900,14.46
2004-12-30,20.34,20.49,20.34,20.38,95700,14.55
2004-12-29,20.42,20.42,20.27,20.37,127100,14.54
2004-12-28,20.19,20.45,20.18,20.25,163900,14.46
2004-12-27,20.68,20.69,20.15,20.16,119800,14.39
2004-12-23,20.60,20.71,20.43,20.47,70200,14.61
2004-12-22,20.48,20.75,20.32,20.52,139400,14.65
2004-12-21,20.23,20.32,20.14,20.31,275100,14.50
2004-12-20,20.47,20.61,20.22,20.26,141400,14.46
2004-12-17,20.12,20.37,19.88,20.37,347000,14.54
2004-12-16,20.02,20.17,19.86,20.05,147900,14.31
2004-12-15,19.75,20.00,19.61,20.00,137900,14.28
2004-12-14,19.81,19.98,19.43,19.89,155800,14.20
2004-12-13,19.50,19.81,19.27,19.81,225500,14.14
2004-12-10,18.85,19.27,18.81,19.24,173500,13.74
2004-12-09,19.03,19.14,18.81,18.97,153800,13.54
2004-12-08,19.11,19.22,18.87,19.17,217100,13.69
2004-12-07,19.46,19.48,19.10,19.11,182300,13.64
2004-12-06,19.66,19.66,19.25,19.46,161700,13.89
2004-12-03,19.65,19.82,19.58,19.60,111100,13.99
2004-12-02,19.80,19.93,19.65,19.74,207200,14.09
2004-12-01,19.90,19.97,19.63,19.88,209800,14.19
2004-11-30,19.62,19.83,19.62,19.80,215100,14.13
2004-11-29,19.73,19.91,19.51,19.74,176500,14.09
2004-11-26,19.70,19.94,19.69,19.73,48200,14.08
2004-11-24,19.66,19.76,19.47,19.68,119100,14.05
2004-11-23,19.54,19.64,19.32,19.58,182400,13.98
2004-11-22,19.30,19.57,19.19,19.54,187600,13.95
2004-11-19,19.10,19.30,19.02,19.17,210500,13.69
2004-11-18,19.46,19.58,19.05,19.16,241300,13.68
2004-11-17,19.50,19.63,19.33,19.41,186800,13.86
2004-11-16,19.50,19.51,19.27,19.33,174000,13.80
2004-11-15,19.50,19.52,19.27,19.50,262000,13.92
2004-11-12,19.31,19.57,19.15,19.52,138800,13.94
2004-11-11,18.75,19.37,18.67,19.30,189300,13.78
2004-11-10,18.60,18.99,18.53,18.86,708000,13.46
2004-11-09,18.85,19.04,18.65,19.01,301200,13.57
2004-11-08,18.55,18.82,18.47,18.62,295000,13.29
2004-11-05,18.87,18.87,18.59,18.66,252400,13.32
2004-11-04,18.60,18.77,18.35,18.63,337700,13.30
2004-11-03,18.46,18.59,18.25,18.30,240200,13.06
2004-11-02,18.30,18.68,18.11,18.16,175700,12.96
2004-11-01,18.35,18.50,18.20,18.48,172900,13.19
2004-10-29,18.35,18.50,18.21,18.22,121400,13.01
2004-10-28,18.26,18.36,18.14,18.34,180500,13.09
2004-10-27,18.05,18.53,18.05,18.48,358700,13.03
2004-10-26,17.88,18.22,17.51,18.20,240700,12.83
2004-10-25,17.70,17.88,17.65,17.74,141500,12.51
2004-10-22,17.80,17.83,17.49,17.55,135500,12.38
2004-10-21,17.64,17.80,17.42,17.75,186400,12.52
2004-10-20,17.45,17.59,17.26,17.44,257400,12.30
2004-10-19,17.65,17.65,17.37,17.40,145900,12.27
2004-10-18,17.72,17.88,17.47,17.47,152800,12.32
2004-10-15,17.40,17.80,17.37,17.62,158800,12.43
2004-10-14,17.56,17.60,17.37,17.38,77400,12.26
2004-10-13,17.78,17.78,17.34,17.52,161700,12.35
2004-10-12,17.45,17.78,17.45,17.77,112200,12.53
2004-10-11,17.78,17.78,17.46,17.65,96000,12.45
2004-10-08,17.70,17.86,17.62,17.68,106800,12.47
2004-10-07,17.82,17.93,17.63,17.66,137300,12.45
2004-10-06,17.61,17.88,17.61,17.87,241600,12.60
2004-10-05,17.90,17.90,17.62,17.75,229100,12.52
2004-10-04,17.56,17.76,17.49,17.75,443300,12.52
2004-10-01,17.40,17.43,17.22,17.36,127800,12.24
2004-09-30,17.27,17.38,17.03,17.24,118200,12.16
2004-09-29,17.17,17.26,17.02,17.26,212100,12.17
2004-09-28,17.15,17.15,16.69,17.02,735500,12.00
