Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,32.91,33.01,32.62,32.65,54400,32.65
2004-12-30,32.89,33.01,32.69,32.88,68500,32.88
2004-12-29,33.65,33.69,33.00,33.14,108200,33.14
2004-12-28,32.40,33.80,32.40,33.71,202900,33.71
2004-12-27,32.30,32.44,31.92,32.25,128800,32.25
2004-12-23,32.95,33.16,31.86,32.13,183800,32.13
2004-12-22,32.54,33.30,32.39,32.91,159300,32.91
2004-12-21,32.34,32.55,32.20,32.54,125200,32.54
2004-12-20,32.50,32.59,32.18,32.33,148200,32.33
2004-12-17,32.71,32.71,32.09,32.58,118600,32.58
2004-12-16,32.60,32.60,32.14,32.52,139300,32.52
2004-12-15,32.50,32.70,32.30,32.56,232800,32.56
2004-12-14,32.30,32.79,32.30,32.65,140600,32.65
2004-12-13,32.94,32.94,31.99,32.11,231000,32.11
2004-12-10,31.10,33.86,31.00,32.94,916900,32.94
2004-12-09,34.85,34.95,34.17,34.30,157400,34.30
2004-12-08,34.70,35.25,34.66,34.80,154700,34.80
2004-12-07,35.38,35.40,34.26,34.50,311800,34.50
2004-12-06,36.16,36.18,35.25,35.53,163900,35.53
2004-12-03,36.21,36.62,36.02,36.31,100100,36.31
2004-12-02,35.60,36.22,35.45,36.21,155900,36.21
2004-12-01,35.50,36.30,35.39,35.60,226900,35.60
2004-11-30,35.75,35.94,34.95,35.60,277900,35.60
2004-11-29,35.61,36.55,35.61,35.97,269500,35.97
2004-11-26,35.60,36.12,35.45,35.74,65400,35.74
2004-11-24,34.65,35.25,34.63,35.17,173700,35.17
2004-11-23,33.55,34.81,33.55,34.75,262900,34.75
2004-11-22,33.90,34.19,33.25,34.05,327100,34.05
2004-11-19,32.10,34.15,32.10,34.15,1425500,34.15
2004-11-18,32.95,32.96,32.10,32.37,295400,32.37
2004-11-17,32.90,33.47,32.90,33.02,150200,33.02
2004-11-16,33.70,33.72,32.70,32.70,106700,32.70
2004-11-15,33.75,33.75,32.95,33.59,137700,33.59
2004-11-12,33.84,34.33,33.30,33.75,138700,33.75
2004-11-11,34.70,35.00,33.25,33.84,257300,33.84
2004-11-10,34.40,35.27,34.30,34.91,109300,34.91
2004-11-09,34.20,34.69,33.94,34.65,52200,34.65
2004-11-08,34.00,34.46,33.90,34.19,87900,34.19
2004-11-05,33.86,34.15,33.55,34.00,103100,34.00
2004-11-04,33.40,33.97,33.30,33.95,78400,33.95
2004-11-03,32.68,33.67,32.68,33.52,132900,33.52
2004-11-02,32.20,32.84,32.12,32.43,76200,32.43
2004-11-01,31.61,32.37,31.41,32.18,122900,32.18
2004-10-29,32.24,32.27,31.45,31.60,99100,31.60
2004-10-28,32.60,32.60,31.83,32.14,107400,32.14
2004-10-27,32.61,33.00,32.25,32.60,99800,32.60
2004-10-26,31.75,32.53,31.40,32.53,123200,32.53
2004-10-25,30.43,31.90,30.35,31.60,118700,31.60
2004-10-22,31.15,31.55,30.43,30.43,98100,30.43
2004-10-21,31.40,31.50,31.00,31.25,88600,31.25
2004-10-20,30.90,31.30,30.70,31.07,82800,31.07
2004-10-19,31.40,31.65,31.02,31.06,97600,31.06
2004-10-18,31.40,31.46,31.09,31.17,80000,31.17
2004-10-15,31.16,31.81,31.16,31.30,102000,31.30
2004-10-14,31.56,31.59,31.01,31.15,73400,31.15
2004-10-13,31.80,32.02,31.33,31.48,83200,31.48
2004-10-12,31.80,31.80,31.35,31.49,148300,31.49
2004-10-11,32.30,32.30,31.75,31.80,221800,31.80
2004-10-08,32.50,32.50,32.10,32.20,154800,32.20
2004-10-07,32.98,32.99,32.45,32.50,147100,32.50
2004-10-06,32.80,33.00,32.09,32.90,154300,32.90
2004-10-05,33.09,33.45,32.80,32.97,154500,32.97
2004-10-04,33.50,34.19,32.63,32.98,235000,32.98
2004-10-01,31.50,33.02,31.10,32.97,275000,32.97
2004-09-30,30.48,30.89,30.35,30.59,124700,30.59
2004-09-29,30.40,30.75,30.31,30.45,156400,30.45
2004-09-28,30.15,30.65,30.15,30.58,108400,30.58
2004-09-27,30.25,30.26,29.65,30.00,88700,30.00
2004-09-24,30.83,31.21,30.36,30.36,79900,30.36
2004-09-23,30.68,30.87,30.06,30.75,127900,30.75
2004-09-22,31.44,31.44,30.29,30.62,103400,30.62
2004-09-21,30.85,31.44,30.63,31.44,137800,31.44
2004-09-20,30.75,30.85,30.40,30.75,110200,30.75
2004-09-17,31.15,31.15,30.43,30.75,146700,30.75
2004-09-16,29.86,30.70,29.86,30.63,119300,30.63
2004-09-15,29.84,29.84,29.40,29.71,162600,29.71
2004-09-14,29.93,29.93,29.47,29.84,68100,29.84
2004-09-13,29.10,30.16,29.05,29.99,141600,29.99
2004-09-10,29.00,29.35,28.46,29.00,186500,29.00
2004-09-09,29.00,29.18,28.71,29.00,162000,29.00
2004-09-08,29.49,29.49,28.47,28.81,214100,28.81
2004-09-07,28.54,29.45,27.83,29.45,416300,29.45
2004-09-03,29.90,30.10,28.26,28.53,813200,28.53
2004-09-02,31.94,32.85,31.79,32.68,142400,32.68
2004-09-01,31.60,32.00,31.49,31.80,139100,31.80
2004-08-31,31.75,31.93,31.55,31.73,132700,31.73
2004-08-30,31.98,32.10,31.74,31.86,70800,31.86
2004-08-27,31.97,32.37,31.86,32.23,54800,32.23
2004-08-26,31.98,31.98,31.76,31.91,101900,31.91
