Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,36.65,36.76,36.40,36.50,13161700,26.10
2004-12-30,36.63,36.83,36.56,36.60,10461800,26.17
2004-12-29,36.57,36.60,36.42,36.56,11195100,26.14
2004-12-28,36.54,36.85,36.53,36.69,12817700,26.23
2004-12-27,36.85,36.94,36.57,36.57,9898700,26.15
2004-12-23,36.75,36.95,36.71,36.77,10598200,26.29
2004-12-22,36.77,37.14,36.66,36.84,17393600,26.34
2004-12-21,37.11,37.24,36.97,37.17,16388000,26.42
2004-12-20,36.92,37.20,36.92,37.11,17123800,26.38
2004-12-17,36.40,37.09,36.26,36.75,34996400,26.12
2004-12-16,37.30,37.49,37.00,37.11,23825700,26.38
2004-12-15,37.39,37.51,37.01,37.39,20391100,26.58
2004-12-14,37.39,37.75,37.18,37.38,26370400,26.57
2004-12-13,36.85,37.52,36.82,37.48,28195500,26.64
2004-12-10,36.15,36.81,36.00,36.69,32039000,26.08
2004-12-09,35.58,36.09,35.50,36.02,15881900,25.60
2004-12-08,35.65,35.90,35.54,35.71,16388600,25.38
2004-12-07,35.60,35.65,35.27,35.31,18764000,25.10
2004-12-06,35.65,35.77,35.59,35.67,11704500,25.35
2004-12-03,35.84,36.03,35.65,35.83,15164900,25.47
2004-12-02,35.85,36.09,35.75,35.94,15978300,25.55
2004-12-01,35.36,36.02,35.36,36.02,21709800,25.60
2004-11-30,35.30,35.61,35.30,35.36,23067400,25.13
2004-11-29,35.57,35.73,35.12,35.30,21630500,25.09
2004-11-26,35.60,35.63,35.44,35.44,7889900,25.19
2004-11-24,35.85,36.00,35.56,35.64,16805700,25.33
2004-11-23,35.97,36.04,35.49,35.81,21021100,25.45
2004-11-22,36.25,36.27,35.94,36.09,15358700,25.65
2004-11-19,36.83,36.83,35.94,36.27,21810500,25.78
2004-11-18,36.40,36.86,36.38,36.83,15703100,26.18
2004-11-17,36.28,36.80,36.10,36.35,18648200,25.84
2004-11-16,36.05,36.24,35.85,36.10,13142000,25.66
2004-11-15,36.25,36.27,35.95,36.10,14334400,25.66
2004-11-12,35.97,36.25,35.83,36.25,18832400,25.77
2004-11-11,35.42,35.88,35.40,35.80,14375300,25.45
2004-11-10,35.48,35.60,35.30,35.32,17046000,25.10
2004-11-09,35.02,35.44,35.02,35.42,15814700,25.18
2004-11-08,35.09,35.22,34.92,35.12,13419300,24.96
2004-11-05,35.20,35.40,34.78,35.19,20886500,25.01
2004-11-04,34.36,35.09,34.33,35.09,25234000,24.94
2004-11-03,34.40,34.45,34.03,34.33,18906600,24.40
2004-11-02,33.95,34.38,33.90,34.05,16923000,24.20
2004-11-01,34.10,34.14,33.81,34.05,12919200,24.20
2004-10-29,33.90,34.15,33.80,34.12,18331000,24.25
2004-10-28,33.80,34.15,33.71,34.03,14379900,24.19
2004-10-27,33.57,33.95,33.35,33.95,16688900,24.13
2004-10-26,33.10,33.65,32.90,33.63,20066700,23.90
2004-10-25,33.10,33.10,32.65,32.90,14662900,23.38
2004-10-22,33.37,33.45,32.74,32.95,16494100,23.42
2004-10-21,33.15,33.50,33.00,33.37,16663700,23.72
2004-10-20,33.48,33.54,33.06,33.22,16417300,23.61
2004-10-19,33.88,34.10,33.42,33.43,16378800,23.76
2004-10-18,33.40,34.03,33.22,33.89,15138600,24.09
2004-10-15,33.52,33.78,33.40,33.55,15124500,23.85
2004-10-14,33.70,33.80,33.40,33.46,12660400,23.78
2004-10-13,34.25,34.28,33.55,33.71,15327300,23.96
2004-10-12,33.80,34.20,33.70,34.02,12101400,24.18
2004-10-11,33.80,34.10,33.78,34.00,8777300,24.17
2004-10-08,33.98,34.30,33.50,33.74,18347800,23.98
2004-10-07,34.14,34.38,33.95,33.95,13949100,24.13
2004-10-06,34.09,34.40,33.93,34.38,14339400,24.44
2004-10-05,34.09,34.12,33.82,34.05,12494100,24.20
2004-10-04,34.00,34.26,33.89,34.12,15533200,24.25
2004-10-01,33.70,33.99,33.65,33.97,15692800,24.15
2004-09-30,33.40,33.61,33.30,33.58,21029700,23.87
2004-09-29,33.45,33.58,33.28,33.45,14456500,23.78
2004-09-28,33.20,33.47,33.04,33.31,15419800,23.68
2004-09-27,33.12,33.31,33.01,33.12,16905700,23.54
2004-09-24,33.50,33.52,33.21,33.41,13324000,23.75
2004-09-23,33.77,33.77,33.40,33.42,15236500,23.75
2004-09-22,34.20,34.25,33.71,33.93,20379800,23.97
2004-09-21,34.22,34.53,34.03,34.46,15252500,24.35
2004-09-20,34.05,34.47,34.02,34.21,19778800,24.17
2004-09-17,33.70,34.24,33.70,34.22,29386500,24.18
2004-09-16,33.58,33.76,33.50,33.53,9464800,23.69
2004-09-15,33.82,33.82,33.49,33.53,12561300,23.69
2004-09-14,33.60,33.82,33.52,33.82,13829300,23.90
2004-09-13,33.88,34.05,33.71,33.75,17123000,23.85
2004-09-10,33.80,34.01,33.52,33.88,16241400,23.94
2004-09-09,33.60,34.03,33.59,33.86,26170600,23.93
2004-09-08,33.34,33.72,33.33,33.66,26992400,23.78
2004-09-07,33.05,33.49,33.03,33.34,18990800,23.56
2004-09-03,33.00,33.12,32.78,32.84,11664900,23.20
2004-09-02,32.90,33.16,32.78,33.13,13834000,23.41
2004-09-01,32.79,32.97,32.62,32.88,11502500,23.23
2004-08-31,32.49,32.81,32.31,32.79,16618400,23.17
2004-08-30,32.63,32.75,32.55,32.57,9376100,23.01
2004-08-27,32.75,32.86,32.65,32.77,7876200,23.15
2004-08-26,32.75,32.90,32.64,32.79,9121000,23.17
2004-08-25,32.52,32.99,32.42,32.79,15740300,23.17
2004-08-24,32.70,32.75,32.41,32.63,15862300,23.06
2004-08-23,32.68,32.74,32.46,32.51,13402200,22.97
2004-08-20,32.66,32.80,32.49,32.65,16269200,23.07
2004-08-19,32.63,32.74,32.33,32.71,13998500,23.11
2004-08-18,32.10,32.78,32.01,32.78,17800500,23.16
2004-08-17,32.31,32.45,32.05,32.14,14041800,22.71
2004-08-16,31.87,32.30,31.82,32.30,14146600,22.82
2004-08-13,31.70,31.94,31.50,31.89,16281700,22.53
2004-08-12,31.98,32.03,31.60,31.61,14707900,22.34
2004-08-11,31.90,32.24,31.75,32.20,13706400,22.75
2004-08-10,31.90,32.10,31.75,32.09,13732800,22.67
2004-08-09,31.53,32.05,31.49,31.85,16011200,22.50
2004-08-06,31.80,31.96,31.42,31.52,24647400,22.27
2004-08-05,32.85,32.94,32.19,32.22,19942200,22.77
2004-08-04,32.65,32.95,32.62,32.88,13320100,23.23
2004-08-03,33.20,33.20,32.80,32.87,15790500,23.23
2004-08-02,32.65,33.35,32.65,33.26,13292400,23.50
2004-07-30,33.07,33.25,32.88,33.25,14087100,23.49
2004-07-29,33.35,33.45,32.97,33.21,16501300,23.47
2004-07-28,33.30,33.46,32.35,33.29,22409300,23.52
2004-07-27,32.50,32.90,32.45,32.80,17306500,23.18
2004-07-26,32.67,32.75,32.02,32.31,20165900,22.83
2004-07-23,32.83,32.83,32.12,32.52,14593300,22.98
2004-07-22,32.55,33.05,32.40,32.88,18415100,23.23
2004-07-21,33.33,33.45,32.60,32.60,21230200,23.03
2004-07-20,33.13,33.25,32.97,33.21,18126200,23.47
2004-07-19,33.30,33.36,32.92,33.23,20281800,23.48
2004-07-16,33.62,33.62,33.05,33.09,25293700,23.38
2004-07-15,33.11,33.53,33.00,33.37,31380100,23.58
2004-07-14,32.80,33.24,32.73,33.13,32994900,23.41
2004-07-13,32.73,32.89,32.65,32.84,22947500,23.20
2004-07-12,32.22,32.65,32.01,32.60,19183600,23.03
2004-07-09,32.05,32.25,31.92,32.17,25224300,22.73
2004-07-08,31.87,32.00,31.68,31.70,21470000,22.40
2004-07-07,31.73,32.20,31.73,32.02,22072500,22.62
2004-07-06,31.60,31.89,31.50,31.83,17426200,22.49
2004-07-02,31.95,31.96,31.64,31.67,20217100,22.38
2004-07-01,32.40,32.45,31.87,32.01,31422500,22.62
2004-06-30,32.40,32.49,32.08,32.40,27207000,22.89
2004-06-29,32.34,32.47,32.32,32.33,20307200,22.84
2004-06-28,32.80,32.83,32.11,32.31,36057300,22.83
2004-06-25,33.20,33.28,32.18,32.18,80277000,22.74
2004-06-24,33.22,33.28,33.04,33.27,34239800,23.51
2004-06-23,32.86,33.49,32.73,33.42,34333800,23.47
2004-06-22,32.50,32.97,32.50,32.85,24245300,23.07
2004-06-21,32.58,32.79,32.47,32.60,22476000,22.90
2004-06-18,32.34,32.69,32.23,32.58,60311300,22.88
2004-06-17,32.04,32.44,31.99,32.36,31005700,22.73
2004-06-16,31.78,32.12,31.73,32.11,22431900,22.55
2004-06-15,31.69,31.94,31.57,31.81,23376400,22.34
2004-06-14,31.35,31.58,31.30,31.57,15855400,22.17
2004-06-10,31.15,31.50,31.15,31.49,15993700,22.12
2004-06-09,31.40,31.58,31.15,31.18,18496900,21.90
2004-06-08,31.55,31.70,31.26,31.47,19661000,22.10
2004-06-07,31.48,31.69,31.41,31.68,21037000,22.25
2004-06-04,31.20,31.36,31.06,31.23,17749000,21.93
2004-06-03,31.10,31.32,30.94,31.00,15552600,21.77
2004-06-02,31.18,31.22,30.96,31.10,17776200,21.84
2004-06-01,31.00,31.18,30.82,31.04,19313900,21.80
2004-05-28,31.27,31.27,30.97,31.12,17527800,21.86
2004-05-27,31.30,31.47,31.05,31.26,16240500,21.96
2004-05-26,31.18,31.44,31.15,31.29,18591000,21.98
