Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,27.84,28.00,27.70,27.70,165000,16.59
2004-12-30,27.84,27.95,27.66,27.95,99600,16.74
2004-12-29,27.50,27.87,27.50,27.84,93400,16.67
2004-12-28,27.75,27.88,27.62,27.65,138100,16.56
2004-12-27,27.62,27.85,27.45,27.75,106300,16.62
2004-12-23,27.84,28.00,27.66,27.66,240000,16.57
2004-12-22,27.47,27.85,27.42,27.83,134400,16.67
2004-12-21,27.00,27.65,27.00,27.65,276400,16.56
2004-12-20,27.15,27.25,26.92,27.04,130000,16.20
2004-12-17,26.90,27.39,26.82,27.25,285400,16.32
2004-12-16,27.25,27.41,26.88,26.90,217100,16.11
2004-12-15,27.19,27.40,27.01,27.40,154700,16.41
2004-12-14,27.00,27.29,26.94,27.29,179800,16.34
2004-12-13,27.34,27.35,26.87,27.18,193700,16.28
2004-12-10,27.06,27.32,26.96,27.32,198600,16.36
2004-12-09,27.20,27.40,26.90,27.26,225400,16.33
2004-12-08,26.80,27.21,26.80,27.20,156900,16.29
2004-12-07,27.30,27.33,26.90,26.90,286600,16.11
2004-12-06,27.34,27.43,26.73,27.37,367100,16.39
2004-12-03,26.90,27.35,26.72,27.35,347600,16.38
2004-12-02,26.75,26.93,26.53,26.75,268100,16.02
2004-12-01,26.65,26.99,26.38,26.94,752500,16.14
2004-11-30,26.43,26.43,25.77,25.87,519800,15.49
2004-11-29,26.53,26.65,26.11,26.30,430300,15.75
2004-11-26,26.70,26.81,26.50,26.52,81200,15.88
2004-11-24,26.16,26.75,26.16,26.70,231300,15.99
2004-11-23,26.03,26.53,25.87,26.53,336600,15.89
2004-11-22,25.87,26.30,25.69,26.03,366000,15.59
2004-11-19,25.96,25.96,25.65,25.90,232200,15.51
2004-11-18,26.30,26.47,25.62,25.96,357600,15.55
2004-11-17,26.85,26.99,25.91,26.13,372400,15.65
2004-11-16,26.70,26.97,26.43,26.73,234700,16.01
2004-11-15,26.55,26.91,26.20,26.71,265500,16.00
2004-11-12,25.93,26.55,25.68,26.55,164900,15.90
2004-11-11,25.73,25.88,25.41,25.88,152600,15.50
2004-11-10,25.27,25.64,25.15,25.58,161400,15.32
2004-11-09,25.20,25.37,25.06,25.35,175700,15.18
2004-11-08,25.00,25.25,24.98,25.25,287300,15.12
2004-11-05,25.74,25.74,24.99,25.03,479200,14.99
2004-11-04,25.22,25.77,25.22,25.75,234600,15.42
2004-11-03,25.75,25.81,25.49,25.81,357800,15.20
2004-11-02,25.60,25.65,25.33,25.42,358300,14.97
2004-11-01,24.82,25.60,24.77,25.60,496700,15.08
2004-10-29,25.37,25.53,24.81,24.81,442500,14.61
2004-10-28,25.45,25.45,25.21,25.33,193600,14.92
2004-10-27,25.10,25.45,25.10,25.45,412900,14.99
