Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,10.69,10.90,10.67,10.84,1351600,10.44
2004-12-30,10.60,10.80,10.60,10.72,1215100,10.32
2004-12-29,10.57,10.70,10.50,10.67,1131800,10.28
2004-12-28,10.52,10.63,10.50,10.60,1071200,10.21
2004-12-27,10.51,10.64,10.42,10.56,1204300,10.17
2004-12-23,10.60,10.60,10.44,10.49,1252400,10.10
2004-12-22,10.30,10.59,10.29,10.59,2518900,10.20
2004-12-21,10.20,10.49,10.20,10.34,1774000,9.96
2004-12-20,10.45,10.50,10.14,10.25,1862500,9.87
2004-12-17,10.51,10.55,10.25,10.50,1453800,10.11
2004-12-16,10.53,10.60,10.47,10.54,1424400,10.15
2004-12-15,10.36,10.59,10.30,10.55,2453200,10.16
2004-12-14,10.20,10.43,10.17,10.31,3220300,9.93
2004-12-13,10.28,10.29,10.08,10.20,2197600,9.82
2004-12-10,10.07,10.42,10.05,10.27,2373800,9.89
2004-12-09,10.32,10.44,10.07,10.26,1773700,9.88
2004-12-08,10.60,10.64,10.11,10.40,2819200,10.02
2004-12-07,10.87,10.90,10.37,10.38,2802100,10.00
2004-12-06,10.68,11.02,10.65,10.84,2402300,10.44
2004-12-03,10.70,10.74,10.55,10.67,2436300,10.28
2004-12-02,10.39,10.75,10.22,10.61,5460200,10.22
2004-12-01,10.30,10.44,10.03,10.38,6368700,10.00
2004-11-30,9.40,9.78,9.35,9.77,2210600,9.41
2004-11-29,9.57,9.64,9.36,9.39,1046300,9.04
2004-11-26,9.47,9.58,9.39,9.57,282400,9.22
2004-11-24,9.29,9.58,9.26,9.50,1311600,9.15
2004-11-23,9.25,9.30,9.10,9.22,745500,8.88
2004-11-22,8.94,9.33,8.93,9.28,1046300,8.94
2004-11-19,9.09,9.20,8.98,9.02,1481800,8.69
2004-11-18,9.35,9.38,9.19,9.21,1067000,8.87
2004-11-17,9.34,9.69,9.29,9.39,3204800,9.04
2004-11-16,9.23,9.23,9.07,9.21,1483600,8.87
2004-11-15,8.99,9.31,8.96,9.25,3290700,8.91
2004-11-12,8.97,9.09,8.91,8.99,2889300,8.66
2004-11-11,8.85,8.99,8.77,8.97,1514200,8.64
2004-11-10,8.89,8.95,8.76,8.85,759300,8.52
2004-11-09,8.75,8.92,8.75,8.89,790700,8.56
2004-11-08,8.85,8.91,8.72,8.79,1038700,8.47
2004-11-05,8.73,8.91,8.70,8.75,1790100,8.43
2004-11-04,8.56,8.73,8.39,8.69,1028800,8.37
2004-11-03,8.74,8.80,8.43,8.60,886900,8.28
2004-11-02,8.47,8.68,8.44,8.57,1462200,8.25
2004-11-01,8.34,8.52,8.30,8.47,1377200,8.16
2004-10-29,8.23,8.40,8.23,8.33,1308000,8.02
2004-10-28,8.26,8.30,8.18,8.23,1724300,7.93
2004-10-27,8.50,8.50,7.95,8.22,4036700,7.92
2004-10-26,8.79,8.80,8.02,8.03,3631700,7.73
2004-10-25,8.15,8.38,8.10,8.28,2383500,7.97
2004-10-22,8.08,8.27,8.07,8.17,2111900,7.87
2004-10-21,8.82,8.82,8.00,8.02,6368500,7.72
2004-10-20,9.24,9.25,8.65,8.95,2838800,8.62
2004-10-19,9.34,9.43,9.05,9.08,1644600,8.75
2004-10-18,8.90,9.20,8.90,9.20,1098900,8.86
2004-10-15,9.05,9.06,8.87,9.00,1111200,8.67
2004-10-14,9.01,9.07,8.88,9.05,999800,8.72
2004-10-13,9.33,9.47,8.94,9.10,2199300,8.76
2004-10-12,9.42,9.42,9.17,9.30,1863100,8.96
2004-10-11,9.47,9.50,9.37,9.48,881400,9.13
2004-10-08,9.50,9.50,9.33,9.44,1294300,9.09
2004-10-07,9.60,9.75,9.36,9.50,1810200,9.15
2004-10-06,9.45,9.55,9.34,9.52,2876400,9.17
2004-10-05,9.30,9.38,9.10,9.29,1700800,8.95
2004-10-04,9.20,9.50,9.17,9.37,3823600,9.02
2004-10-01,8.88,9.13,8.87,9.12,2619000,8.78
2004-09-30,8.71,8.87,8.62,8.79,1120400,8.47
2004-09-29,8.47,8.77,8.47,8.77,1408100,8.45
2004-09-28,8.32,8.51,8.22,8.50,1063100,8.19
2004-09-27,8.45,8.48,8.31,8.32,1048000,8.01
2004-09-24,8.63,8.78,8.45,8.51,1017800,8.20
2004-09-23,8.75,8.79,8.52,8.71,1726300,8.39
2004-09-22,8.83,8.94,8.76,8.78,1611000,8.46
2004-09-21,8.94,8.95,8.78,8.95,1927800,8.62
2004-09-20,8.84,8.99,8.77,8.89,2300400,8.56
2004-09-17,8.65,8.89,8.60,8.88,3847600,8.55
2004-09-16,8.59,8.71,8.50,8.65,4649600,8.33
2004-09-15,8.55,8.59,8.31,8.35,1608600,8.04
2004-09-14,8.44,8.65,8.32,8.65,3022500,8.33
2004-09-13,8.58,8.70,8.37,8.44,2479300,8.13
2004-09-10,8.35,8.56,8.35,8.55,2650100,8.23
2004-09-09,8.24,8.34,8.12,8.32,1152600,8.01
2004-09-08,8.18,8.34,8.15,8.24,1406800,7.94
2004-09-07,8.25,8.47,8.14,8.14,3778700,7.84
2004-09-03,7.82,8.02,7.81,8.01,1788100,7.71
2004-09-02,7.85,8.07,7.78,8.02,2018900,7.72
2004-09-01,7.65,7.91,7.46,7.84,2810600,7.55
2004-08-31,7.50,7.50,7.28,7.46,981900,7.18
2004-08-30,7.49,7.54,7.41,7.47,369200,7.19
2004-08-27,7.44,7.60,7.43,7.49,559600,7.21
2004-08-26,7.42,7.69,7.41,7.45,725400,7.18
2004-08-25,7.26,7.57,7.26,7.54,983800,7.26
2004-08-24,7.50,7.59,7.26,7.34,1519600,7.07
2004-08-23,7.53,7.56,7.42,7.55,1537900,7.27
2004-08-20,7.17,7.60,7.12,7.48,3799500,7.20
2004-08-19,7.06,7.22,6.99,7.17,1892600,6.91
2004-08-18,6.50,7.14,6.49,7.02,2074200,6.76
2004-08-17,6.53,6.70,6.52,6.57,1999100,6.33
2004-08-16,6.52,6.57,6.44,6.55,1796600,6.31
2004-08-13,6.61,6.69,6.39,6.52,1750300,6.28
2004-08-12,6.75,6.75,6.47,6.54,1702300,6.30
2004-08-11,6.85,6.88,6.57,6.82,1463500,6.57
2004-08-10,6.58,6.90,6.57,6.88,1741300,6.63
2004-08-09,6.80,6.95,6.48,6.58,2656800,6.34
2004-08-06,6.89,7.00,6.79,6.80,2116400,6.55
2004-08-05,7.03,7.12,6.91,7.02,1160200,6.76
2004-08-04,6.93,7.06,6.85,7.03,2375200,6.77
2004-08-03,7.12,7.15,6.93,6.94,2502900,6.68
2004-08-02,7.00,7.22,6.95,7.17,3590600,6.91
2004-07-30,7.60,7.60,6.95,7.01,10542300,6.75
2004-07-29,7.90,8.33,7.90,8.23,2431000,7.93
2004-07-28,8.00,8.09,7.83,7.91,1175500,7.62
2004-07-27,7.71,8.22,7.68,8.09,2629200,7.79
2004-07-26,7.85,7.93,7.70,7.79,821800,7.50
2004-07-23,8.01,8.02,7.75,7.88,1612000,7.59
2004-07-22,7.88,8.11,7.50,8.08,3157400,7.78
2004-07-21,8.43,8.55,7.73,7.92,3899200,7.63
2004-07-20,8.12,8.55,8.03,8.47,1906400,8.16
2004-07-19,7.93,8.17,7.75,8.14,2411900,7.84
2004-07-16,8.13,8.15,7.94,7.94,1047800,7.65
2004-07-15,8.02,8.20,8.01,8.04,840000,7.74
2004-07-14,8.04,8.22,7.92,7.97,2050500,7.68
2004-07-13,8.00,8.22,7.97,8.14,1030000,7.84
2004-07-12,8.10,8.15,7.97,7.98,954600,7.69
2004-07-09,8.12,8.17,8.10,8.14,893500,7.84
2004-07-08,8.10,8.16,8.06,8.10,1157000,7.80
2004-07-07,8.07,8.22,8.07,8.18,1565600,7.88
2004-07-06,8.25,8.26,8.05,8.07,1723900,7.77
2004-07-02,8.59,8.59,8.10,8.40,2952900,8.09
2004-07-01,8.61,8.68,8.54,8.58,1218700,8.26
2004-06-30,8.70,8.74,8.53,8.66,1584600,8.34
2004-06-29,8.61,8.78,8.60,8.67,1204100,8.35
2004-06-28,8.78,8.85,8.59,8.61,1246100,8.29
2004-06-25,8.85,9.03,8.66,8.66,2960400,8.34
2004-06-24,8.97,9.10,8.85,8.90,1370500,8.57
2004-06-23,8.93,9.10,8.88,9.08,1600400,8.75
2004-06-22,8.89,9.00,8.70,8.83,2007800,8.50
2004-06-21,9.13,9.19,8.86,8.89,1394800,8.56
2004-06-18,9.03,9.22,9.01,9.20,1302200,8.86
2004-06-17,8.98,9.04,8.91,9.01,1102200,8.68
2004-06-16,9.21,9.22,9.01,9.03,1278600,8.70
2004-06-15,9.06,9.24,9.01,9.21,1147400,8.87
2004-06-14,9.11,9.18,8.93,8.99,939500,8.66
2004-06-10,9.10,9.29,9.05,9.11,1103400,8.77
2004-06-09,9.26,9.40,9.05,9.08,1329100,8.75
2004-06-08,9.12,9.31,9.10,9.30,1522000,8.96
2004-06-07,9.16,9.24,9.08,9.17,1073800,8.83
2004-06-04,9.03,9.15,9.00,9.11,1283300,8.77
2004-06-03,8.95,9.16,8.82,8.91,1720300,8.58
2004-06-02,9.17,9.17,8.93,8.95,1422100,8.62
2004-06-01,9.04,9.20,9.00,9.17,1058100,8.83
2004-05-28,9.00,9.16,8.87,9.14,1313400,8.80
2004-05-27,9.25,9.35,8.85,9.00,3233200,8.67
2004-05-26,8.95,9.26,8.90,9.15,2102000,8.81
2004-05-25,8.51,9.03,8.51,8.96,3188400,8.63
2004-05-24,8.25,8.79,8.25,8.66,3488800,8.34
2004-05-21,8.13,8.31,8.13,8.25,1949600,7.95
2004-05-20,8.15,8.30,8.10,8.15,1136700,7.85
2004-05-19,8.22,8.36,8.11,8.12,1965400,7.82
2004-05-18,8.00,8.23,8.00,8.05,2316000,7.75
2004-05-17,7.88,8.05,7.87,7.99,1492400,7.70
2004-05-14,8.22,8.35,8.00,8.02,1905600,7.72
2004-05-13,8.20,8.32,8.15,8.21,1595300,7.91
2004-05-12,8.35,8.42,8.10,8.28,1823200,7.97
2004-05-11,8.24,8.43,8.19,8.32,1988000,8.01
2004-05-10,8.40,8.40,8.12,8.15,2183900,7.85
2004-05-07,8.31,8.65,8.30,8.43,2071200,8.12
2004-05-06,8.55,8.75,8.25,8.35,3454900,8.04
2004-05-05,8.70,8.70,8.15,8.51,4357600,8.20
2004-05-04,7.90,8.27,7.90,8.14,3396000,7.84
2004-05-03,8.08,8.29,7.87,7.89,3321900,7.60
2004-04-30,8.31,8.40,8.08,8.08,2396300,7.78
2004-04-29,8.51,8.65,8.11,8.24,3898400,7.94
2004-04-28,8.41,8.70,8.25,8.50,2930900,8.19
2004-04-27,8.80,8.80,8.35,8.38,6242800,8.07
2004-04-26,8.95,8.98,8.50,8.60,4598800,8.28
2004-04-23,9.28,9.28,8.84,8.88,7773000,8.55
2004-04-22,10.05,10.05,8.66,8.98,18449300,8.65
2004-04-21,10.45,10.63,10.12,10.25,4032800,9.87
2004-04-20,10.79,11.10,10.51,10.51,2044900,10.12
2004-04-19,10.54,10.73,10.53,10.69,2195900,10.30
2004-04-16,10.88,10.88,10.51,10.53,2849400,10.14
2004-04-15,11.15,11.24,10.85,10.95,2368900,10.55
2004-04-14,11.10,11.40,11.00,11.16,1906700,10.75
2004-04-13,11.61,11.70,11.32,11.37,2715800,10.95
2004-04-12,11.41,11.58,11.28,11.54,1829200,11.11
2004-04-08,11.44,11.58,11.25,11.42,1941600,11.00
2004-04-07,10.70,11.41,10.60,11.37,4708900,10.95
2004-04-06,11.35,11.61,11.27,11.42,3774400,11.00
2004-04-05,11.60,11.69,11.43,11.55,2734600,11.12
2004-04-02,11.62,11.67,11.32,11.63,3797700,11.20
2004-04-01,11.27,11.47,11.22,11.45,1868900,11.03
2004-03-31,11.35,11.47,11.20,11.23,2167900,10.82
2004-03-30,11.10,11.27,11.01,11.19,1930700,10.78
2004-03-29,10.94,11.19,10.86,11.11,3158600,10.70
2004-03-26,10.60,10.69,10.50,10.54,1552800,10.15
2004-03-25,10.30,10.85,10.27,10.63,3739400,10.24
2004-03-24,10.20,10.27,10.10,10.19,2055300,9.81
2004-03-23,10.26,10.36,10.08,10.17,2673000,9.79
2004-03-22,10.38,10.45,10.00,10.17,3860700,9.79
2004-03-19,10.75,10.81,10.42,10.52,1214200,10.13
2004-03-18,10.87,10.87,10.54,10.75,1589400,10.35
2004-03-17,10.85,10.94,10.76,10.87,2296600,10.47
2004-03-16,10.38,10.90,10.38,10.71,4154000,10.32
