Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,51.01,51.40,51.00,51.26,8497000,41.38
2004-12-30,51.13,51.40,51.02,51.03,6663400,41.20
2004-12-29,50.81,51.18,50.80,51.13,9238100,41.28
2004-12-28,51.02,51.40,51.00,51.05,11662100,41.21
2004-12-27,51.80,51.95,50.86,50.88,12167000,41.08
2004-12-23,51.25,52.05,51.17,51.97,12525900,41.96
2004-12-22,51.52,51.70,50.75,51.29,12132000,41.41
2004-12-21,51.23,51.74,50.86,51.69,13561400,41.73
2004-12-20,50.05,51.16,50.00,51.06,16321400,41.22
2004-12-17,49.65,50.34,49.64,49.80,31820600,40.21
2004-12-16,50.48,50.48,49.65,50.10,12238300,40.45
2004-12-15,50.55,50.68,50.32,50.51,12666200,40.78
2004-12-14,50.40,50.80,50.38,50.66,10524500,40.90
2004-12-13,50.45,50.68,50.35,50.67,11795800,40.91
2004-12-10,50.30,50.45,49.89,50.15,10928500,40.49
2004-12-09,49.90,50.32,49.35,50.32,14639300,40.63
2004-12-08,49.36,50.08,48.90,50.02,13562300,40.38
2004-12-07,50.14,50.30,49.50,49.70,12153000,40.12
2004-12-06,50.28,50.47,49.92,50.14,10954300,40.48
2004-12-03,49.70,50.44,49.60,50.27,13215900,40.58
2004-12-02,50.70,50.88,49.94,50.17,16075400,40.50
2004-12-01,51.26,51.70,50.84,51.15,13623400,41.30
2004-11-30,51.21,51.72,51.21,51.25,12921800,41.38
2004-11-29,51.68,51.78,50.82,51.37,10090700,41.47
2004-11-26,51.59,52.00,51.59,51.65,4497700,41.70
2004-11-24,51.20,51.50,51.06,51.49,9616200,41.57
2004-11-23,50.91,51.27,50.87,51.20,14183000,41.34
2004-11-22,50.38,50.97,50.30,50.91,11662200,41.10
2004-11-19,50.10,50.40,49.99,50.38,13992400,40.67
2004-11-18,50.13,50.17,49.80,50.05,9056100,40.41
2004-11-17,49.60,50.15,49.56,50.00,11498300,40.37
2004-11-16,49.50,49.92,49.40,49.41,9986000,39.89
2004-11-15,50.13,50.18,49.16,49.58,12708700,40.03
2004-11-12,49.50,50.50,49.43,50.42,11398200,40.71
2004-11-11,49.55,49.77,49.31,49.66,8789200,40.09
2004-11-10,49.31,49.74,48.90,49.67,11937600,40.10
2004-11-09,49.81,49.95,49.26,49.31,12219100,39.81
2004-11-08,50.35,50.45,49.96,50.17,10841900,40.29
2004-11-05,50.00,50.43,49.76,50.39,14269300,40.46
2004-11-04,49.48,50.20,49.45,50.19,15646000,40.30
2004-11-03,49.00,49.40,48.58,49.27,13050800,39.56
2004-11-02,48.56,48.93,48.25,48.43,12039800,38.89
2004-11-01,49.40,49.50,48.51,48.82,13740100,39.20
2004-10-29,48.32,49.25,48.32,49.22,14362400,39.52
2004-10-28,48.60,49.10,48.25,48.61,18310900,39.03
2004-10-27,49.35,49.38,48.50,48.95,13578400,39.31
2004-10-26,48.74,49.39,48.70,49.39,12625500,39.66
2004-10-25,48.60,49.08,48.52,48.81,10414500,39.19
2004-10-22,48.89,49.30,48.63,48.70,10012500,39.11
2004-10-21,48.85,49.09,48.50,48.81,11124800,39.19
2004-10-20,48.30,48.98,48.25,48.87,12260300,39.24
2004-10-19,48.50,48.84,48.23,48.31,11426100,38.79
2004-10-18,48.80,49.16,48.70,48.75,9196300,39.15
2004-10-15,48.95,49.20,48.65,49.02,11018500,39.36
2004-10-14,48.54,49.13,48.53,48.71,11669900,39.11
2004-10-13,48.95,48.96,48.18,48.48,14658700,38.93
2004-10-12,49.55,49.88,49.33,49.37,9854400,39.64
2004-10-11,50.00,50.04,49.41,49.79,7516100,39.98
2004-10-08,49.80,50.24,49.74,49.84,10540200,40.02
2004-10-07,49.33,50.46,49.33,49.74,10731300,39.94
2004-10-06,49.35,50.03,48.40,50.03,12856100,40.17
2004-10-05,49.12,49.52,49.10,49.32,10938300,39.60
2004-10-04,48.75,49.45,48.52,48.92,13297900,39.28
2004-10-01,48.45,48.96,48.36,48.89,11307500,39.26
2004-09-30,48.15,48.38,47.99,48.33,13737000,38.81
2004-09-29,48.42,49.79,47.61,48.15,16320600,38.66
2004-09-28,48.15,48.77,48.13,48.53,13271700,38.97
2004-09-27,47.65,48.27,47.65,47.96,12067500,38.51
2004-09-24,47.65,48.03,47.60,47.83,12711100,38.41
2004-09-23,48.10,48.36,47.68,47.76,17358300,38.35
2004-09-22,49.20,49.21,48.71,48.86,13901800,39.23
2004-09-21,48.50,49.62,48.49,49.49,16189600,39.74
2004-09-20,48.38,48.62,48.12,48.21,11671300,38.71
2004-09-17,47.78,48.56,47.72,48.37,18770400,38.84
2004-09-16,47.31,47.59,47.30,47.55,7683700,38.18
2004-09-15,47.55,47.76,47.36,47.43,11509200,38.09
2004-09-14,47.63,47.78,47.38,47.47,9744600,38.12
2004-09-13,47.53,47.68,47.37,47.50,9492300,38.14
2004-09-10,47.59,47.64,47.12,47.37,9276700,38.04
2004-09-09,47.21,47.55,47.10,47.48,11108200,38.13
2004-09-08,47.00,47.23,46.95,47.07,10237500,37.80
2004-09-07,47.07,47.25,46.65,47.15,14954000,37.86
2004-09-03,46.98,47.24,46.88,47.06,11637000,37.79
2004-09-02,46.71,46.99,46.45,46.98,9095600,37.72
2004-09-01,46.20,46.55,46.03,46.44,11611800,37.29
2004-08-31,45.24,46.13,45.24,46.10,12139600,37.02
2004-08-30,45.35,45.69,45.09,45.13,8082100,36.24
2004-08-27,45.37,45.58,45.35,45.44,7397200,36.49
2004-08-26,45.00,45.39,44.93,45.25,9745100,36.34
2004-08-25,44.96,45.19,44.90,45.19,11653300,36.29
2004-08-24,44.99,44.99,44.51,44.85,10468600,36.01
2004-08-23,45.45,45.55,44.85,44.99,9928700,36.13
2004-08-20,45.19,45.65,45.14,45.25,11687200,36.34
2004-08-19,44.78,45.18,44.76,45.09,12140000,36.21
2004-08-18,44.40,44.96,44.32,44.81,11676300,35.98
2004-08-17,44.77,44.96,44.20,44.36,12193200,35.62
