Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,1213.55,1217.33,1211.65,1211.92,786900000,1211.92
2004-12-30,1213.45,1216.47,1213.41,1213.55,829800000,1213.55
2004-12-29,1213.54,1213.85,1210.95,1213.45,925900000,1213.45
2004-12-28,1204.92,1213.54,1204.92,1213.54,983000000,1213.54
2004-12-27,1210.13,1214.13,1204.92,1204.92,922000000,1204.92
2004-12-23,1209.57,1213.66,1208.71,1210.13,956100000,1210.13
2004-12-22,1205.45,1211.42,1203.85,1209.57,1390800000,1209.57
2004-12-21,1194.65,1205.93,1194.65,1205.45,1483700000,1205.45
2004-12-20,1194.20,1203.43,1193.36,1194.65,1422800000,1194.65
2004-12-17,1203.21,1203.21,1193.49,1194.20,2335000000,1194.20
2004-12-16,1205.72,1207.97,1198.41,1203.21,1793900000,1203.21
2004-12-15,1203.38,1206.61,1199.44,1205.72,1695800000,1205.72
2004-12-14,1198.68,1205.29,1197.84,1203.38,1544400000,1203.38
2004-12-13,1188.00,1198.74,1188.00,1198.68,1436100000,1198.68
2004-12-10,1189.24,1191.45,1185.24,1188.00,1443700000,1188.00
2004-12-09,1182.81,1190.51,1173.79,1189.24,1624700000,1189.24
2004-12-08,1177.07,1184.05,1177.07,1182.81,1525200000,1182.81
2004-12-07,1190.25,1192.17,1177.07,1177.07,1533900000,1177.07
2004-12-06,1191.17,1192.41,1185.18,1190.25,1354400000,1190.25
2004-12-03,1190.33,1197.46,1187.71,1191.17,1566700000,1191.17
2004-12-02,1191.37,1194.80,1186.72,1190.33,1774900000,1190.33
2004-12-01,1173.78,1191.37,1173.78,1191.37,1772800000,1191.37
2004-11-30,1178.57,1178.66,1173.81,1173.82,1553500000,1173.82
2004-11-29,1182.65,1186.94,1172.37,1178.57,1378500000,1178.57
2004-11-26,1181.76,1186.62,1181.08,1182.65,504580000,1182.65
2004-11-24,1176.94,1182.46,1176.94,1181.76,1149600000,1181.76
2004-11-23,1177.24,1179.52,1171.41,1176.94,1428300000,1176.94
2004-11-22,1170.34,1178.18,1167.89,1177.24,1392700000,1177.24
2004-11-19,1183.55,1184.00,1169.19,1170.34,1526600000,1170.34
2004-11-18,1181.94,1184.90,1180.15,1183.55,1456700000,1183.55
2004-11-17,1175.43,1188.46,1175.43,1181.94,1684200000,1181.94
2004-11-16,1183.81,1183.81,1175.32,1175.43,1364400000,1175.43
2004-11-15,1184.17,1184.48,1179.85,1183.81,1453300000,1183.81
2004-11-12,1173.48,1184.17,1171.43,1184.17,1531600000,1184.17
2004-11-11,1162.91,1174.80,1162.91,1173.48,1393000000,1173.48
2004-11-10,1164.08,1169.25,1162.51,1162.91,1504300000,1162.91
2004-11-09,1164.89,1168.96,1162.48,1164.08,1450800000,1164.08
2004-11-08,1166.17,1166.77,1162.32,1164.89,1358700000,1164.89
2004-11-05,1161.67,1170.87,1160.66,1166.17,1724400000,1166.17
2004-11-04,1143.20,1161.67,1142.34,1161.67,1782700000,1161.67
2004-11-03,1130.54,1147.57,1130.54,1143.20,1767500000,1143.20
2004-11-02,1130.51,1140.48,1128.12,1130.56,1659000000,1130.56
2004-11-01,1130.20,1133.41,1127.60,1130.51,1395900000,1130.51
2004-10-29,1127.44,1131.40,1124.62,1130.20,1500800000,1130.20
2004-10-28,1125.34,1130.67,1120.60,1127.44,1628200000,1127.44
2004-10-27,1111.09,1126.29,1107.43,1125.40,1741900000,1125.40
2004-10-26,1094.81,1111.10,1094.81,1111.09,1685400000,1111.09
2004-10-25,1095.74,1096.81,1090.29,1094.80,1380500000,1094.80
2004-10-22,1106.49,1108.14,1095.47,1095.74,1469600000,1095.74
2004-10-21,1103.66,1108.87,1098.47,1106.49,1673000000,1106.49
2004-10-20,1103.23,1104.09,1094.25,1103.66,1685700000,1103.66
2004-10-19,1114.02,1117.96,1103.15,1103.23,1737500000,1103.23
2004-10-18,1108.20,1114.46,1103.33,1114.02,1373300000,1114.02
2004-10-15,1103.29,1113.17,1102.14,1108.20,1645100000,1108.20
2004-10-14,1113.65,1114.96,1102.06,1103.29,1489500000,1103.29
2004-10-13,1121.84,1127.01,1109.63,1113.65,1546200000,1113.65
2004-10-12,1124.39,1124.39,1115.77,1121.84,1320100000,1121.84
2004-10-11,1122.14,1126.20,1122.14,1124.39,943800000,1124.39
2004-10-08,1130.65,1132.92,1120.19,1122.14,1291600000,1122.14
2004-10-07,1142.05,1142.05,1130.50,1130.65,1447500000,1130.65
2004-10-06,1134.48,1142.05,1132.94,1142.05,1416700000,1142.05
2004-10-05,1135.17,1137.87,1132.03,1134.48,1418400000,1134.48
2004-10-04,1131.50,1140.13,1131.50,1135.17,1534000000,1135.17
2004-10-01,1114.58,1131.64,1114.58,1131.50,1582200000,1131.50
2004-09-30,1114.80,1116.31,1109.68,1114.58,1748000000,1114.58
2004-09-29,1110.06,1114.80,1107.42,1114.80,1402900000,1114.80
2004-09-28,1103.52,1111.77,1101.29,1110.06,1396600000,1110.06
2004-09-27,1110.11,1110.11,1103.24,1103.52,1263500000,1103.52
2004-09-24,1108.36,1113.81,1108.36,1110.11,1255400000,1110.11
2004-09-23,1113.56,1113.61,1108.05,1108.36,1286300000,1108.36
2004-09-22,1129.30,1129.30,1112.67,1113.56,1379900000,1113.56
2004-09-21,1122.20,1131.54,1122.20,1129.30,1325000000,1129.30
2004-09-20,1128.55,1128.55,1120.34,1122.20,1197600000,1122.20
2004-09-17,1123.50,1130.14,1123.50,1128.55,1422600000,1128.55
2004-09-16,1120.37,1126.06,1120.37,1123.50,1113900000,1123.50
2004-09-15,1128.33,1128.33,1119.82,1120.37,1256000000,1120.37
2004-09-14,1125.82,1129.46,1124.72,1128.33,1204500000,1128.33
2004-09-13,1123.92,1129.78,1123.35,1125.82,1299800000,1125.82
2004-09-10,1118.38,1125.26,1114.39,1123.92,1261200000,1123.92
2004-09-09,1116.27,1121.30,1113.62,1118.38,1371300000,1118.38
2004-09-08,1121.30,1123.05,1116.27,1116.27,1246300000,1116.27
2004-09-07,1113.63,1124.08,1113.63,1121.30,1214400000,1121.30
2004-09-03,1118.31,1120.80,1113.57,1113.63,924170000,1113.63
2004-09-02,1105.91,1119.11,1105.60,1118.31,1118400000,1118.31
2004-09-01,1104.24,1109.24,1099.18,1105.91,1142100000,1105.91
2004-08-31,1099.15,1104.24,1094.72,1104.24,1138200000,1104.24
2004-08-30,1107.77,1107.77,1099.15,1099.15,843100000,1099.15
2004-08-27,1105.09,1109.68,1104.62,1107.77,845400000,1107.77
2004-08-26,1104.96,1106.78,1102.46,1105.09,1023600000,1105.09
2004-08-25,1096.19,1106.29,1093.24,1104.96,1192200000,1104.96
